vehicle,earlier_journey,later_journey,earlier_start,later_start,earlier_km,later_km,earlier_fuel_l,later_fuel_l,earlier_l_per_100km,later_l_per_100km,earlier_idle_minutes_estimated,later_idle_minutes_estimated,earlier_event8,later_event8,start_gap_km,end_gap_km,both_fuel_at_least_5l,earlier_route_coverage,later_route_coverage,route_min_coverage,rate_change_pct
AHMPUL0C13,250711060008,250730220015,2025-07-11T14:44:08,2025-07-31T06:32:13,36.0,30.0,7.0,6.5,19.444444444444446,21.666666666666668,0.023316666666263,0.0,10,8,0.0500722251331307,0.042468801438864,True,0.8888888888888888,0.9848484848484849,0.8888888888888888,11.428571428571432
AHMPUL0C13,250720210001,250730220015,2025-07-21T05:57:24,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,11,8,0.1234358527598473,0.0257815321857309,True,0.9850746268656716,1.0,0.9850746268656716,8.333333333333348
AHMPUL0C13,250721010002,250730220015,2025-07-21T09:14:47,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,9,8,0.0477154802341318,0.0259003205309246,True,0.9726027397260274,1.0,0.9726027397260274,8.333333333333348
AHMPUL0C13,250721050007,250730220015,2025-07-21T13:08:37,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,11,8,0.0178952428064058,0.0145466758222827,True,0.9705882352941176,0.9848484848484849,0.9705882352941176,8.333333333333348
AHMPUL0C13,250111020002,250730230016,2025-01-11T10:07:29,2025-07-31T07:36:50,28.0,28.0,6.5,6.0,23.214285714285715,21.428571428571427,0.0,0.0,14,9,0.010936855417486,0.1105887345300486,True,0.9852941176470589,1.0,0.9852941176470589,-7.692307692307699
AHMPUL0C13,250120230010,250730230016,2025-01-21T07:34:19,2025-07-31T07:36:50,28.0,28.0,5.5,6.0,19.642857142857142,21.428571428571427,0.0039333333338921,0.0,12,9,0.0241104981565251,0.0190096036074628,True,0.9714285714285714,1.0,0.9714285714285714,9.090909090909083
AHMPUL0C13,250311000001,250730230016,2025-03-11T08:20:04,2025-07-31T07:36:50,29.0,28.0,5.5,6.0,18.96551724137931,21.428571428571427,0.0,0.0,10,9,0.0247933950459851,0.5770169632334271,True,0.9850746268656716,1.0,0.9850746268656716,12.987012987012992
AHMPUL0C13,250320230014,250730230016,2025-03-21T07:34:21,2025-07-31T07:36:50,28.0,28.0,5.5,6.0,19.642857142857142,21.428571428571427,0.0,0.0,11,9,0.0224178971586533,0.081177332574571,True,0.9848484848484849,1.0,0.9848484848484849,9.090909090909083
AHMPUL0C13,250321040007,250730230016,2025-03-21T12:44:13,2025-07-31T07:36:50,28.0,28.0,6.0,6.0,21.428571428571427,21.428571428571427,0.0,0.0,10,9,0.0070052803783668,0.01156612503282,True,1.0,1.0,1.0,0.0
AHMPUL0C13,250521000001,250730230016,2025-05-21T08:06:46,2025-07-31T07:36:50,28.0,28.0,5.0,6.0,17.857142857142858,21.428571428571427,0.0,0.0,10,9,0.0168618592575816,0.0782667140274085,True,0.9841269841269841,1.0,0.9841269841269841,19.999999999999996
AHMPUL0C13,250521050006,250730230016,2025-05-21T13:18:08,2025-07-31T07:36:50,28.0,28.0,6.0,6.0,21.428571428571427,21.428571428571427,0.0,0.0,11,9,0.0098805496946604,0.0153275230293736,True,0.9852941176470589,1.0,0.9852941176470589,0.0
AHMPUL0C13,250521070008,250730230016,2025-05-21T15:56:20,2025-07-31T07:36:50,29.0,28.0,5.5,6.0,18.96551724137931,21.428571428571427,0.0,0.0,11,9,0.0109436366685774,0.0752297895322757,True,0.9692307692307692,0.9846153846153847,0.9692307692307692,12.987012987012992
AHMPUL0C13,250701050007,250730230016,2025-07-01T13:58:49,2025-07-31T07:36:50,28.0,28.0,5.0,6.0,17.857142857142858,21.428571428571427,0.0,0.0,11,9,0.006825483454928,0.0142105473447107,True,0.9848484848484849,1.0,0.9848484848484849,19.999999999999996
AHMPUL0C13,250710230012,250730230016,2025-07-11T07:35:54,2025-07-31T07:36:50,29.0,28.0,5.5,6.0,18.96551724137931,21.428571428571427,0.0,0.0,8,9,0.0143170909901875,0.1166282990427876,True,0.9733333333333334,1.0,0.9733333333333334,12.987012987012992
AHMPUL0C13,250711050006,250730230016,2025-07-11T13:00:53,2025-07-31T07:36:50,28.0,28.0,5.5,6.0,19.642857142857142,21.428571428571427,0.0,0.0,8,9,0.0066263622978885,0.0182135042748732,True,1.0,1.0,1.0,9.090909090909083
AHMPUL0C13,250720230003,250730230016,2025-07-21T07:34:50,2025-07-31T07:36:50,29.0,28.0,5.0,6.0,17.24137931034483,21.428571428571427,0.0,0.0,7,9,0.0166325761589344,0.0539382647417936,True,0.96875,1.0,0.96875,24.285714285714267
AHMPUL0C13,250721060008,250730230016,2025-07-21T14:55:05,2025-07-31T07:36:50,28.0,28.0,5.5,6.0,19.642857142857142,21.428571428571427,0.0042500000020178,0.0,10,9,0.0145466758222827,0.1031768255427061,True,0.9850746268656716,1.0,0.9850746268656716,9.090909090909083
AHMPUL0C13,250111020002,250731030006,2025-01-11T10:07:29,2025-07-31T11:41:45,28.0,28.0,6.5,5.0,23.214285714285715,17.857142857142858,0.0,0.0,14,11,0.0164173734738631,0.0692232684620846,True,0.9852941176470589,0.9848484848484849,0.9848484848484849,-23.076923076923073
AHMPUL0C13,250120230010,250731030006,2025-01-21T07:34:19,2025-07-31T11:41:45,28.0,28.0,5.5,5.0,19.642857142857142,17.857142857142858,0.0039333333338921,0.0,12,11,0.0178769961480997,0.0795721605299665,True,0.9714285714285714,0.9848484848484849,0.9714285714285714,-9.090909090909083
AHMPUL0C13,250311000001,250731030006,2025-03-11T08:20:04,2025-07-31T11:41:45,29.0,28.0,5.5,5.0,18.96551724137931,17.857142857142858,0.0,0.0,10,11,0.0119384360519333,0.5468567053539717,True,0.9850746268656716,1.0,0.9850746268656716,-5.844155844155841
AHMPUL0C13,250320230014,250731030006,2025-03-21T07:34:21,2025-07-31T11:41:45,28.0,28.0,5.5,5.0,19.642857142857142,17.857142857142858,0.0,0.0,11,11,0.003370952417283,0.0218414222880977,True,1.0,0.9848484848484849,0.9848484848484849,-9.090909090909083
AHMPUL0C13,250321040007,250731030006,2025-03-21T12:44:13,2025-07-31T11:41:45,28.0,28.0,6.0,5.0,21.428571428571427,17.857142857142858,0.0,0.0,10,11,0.0266672011032005,0.0556979192877201,True,0.9841269841269841,0.9696969696969697,0.9696969696969697,-16.666666666666664
